id;name;user_id
6369;Rooftop terrace room, ensuite bathroom;13660
21853;Bright and airy room;83531
23001;Apartmento Arganzuela - Madrid Rio;82175
24805;Gran Via Studio Madrid;346366726
26825;Single Room whith private Bathroom;114340
28200;Apartamento Arganzuela Planetario;82175
30320;Great Vacational Apartments;130907
30959;Beautiful loft in Madrid Center;132883
37859;PISO, OPERA, MADRID, GRANDE;162701
40718;COZY APARTMENT CIBELES-GRAN VIA-PTA DEL SOL-CHUECA;34217435
40916;Holiday Apartment Madrid Center;130907
47957;Amazing Apartment, Salamanca Distri;218515
59923;Habitación para féminas en el centro de Madrid;288380
62423;MAGIC ARTISTIC HOUSE IN THE CENTER OF MADRID;303845
64131;Habitación Metro Lacoma;313365
70059;Tu hogar en centro de Madrid.;353616
70316;Superbly located Monthly rental Bills Incl.;353738
72150;Sunny attic duplex flat with terrace next to Sol;364585
74352;Cozy apartment in the coolest neighbourhood;391014
75609;Estudio Museo Dino;401552
82481;Retiro Park, Stay at cosy studio;448981
84719;Cool Apart. (10min Center + WIFI);259229
86042;Cozy attic with intimate rooftop terrace+ elevator;364585
89954;Amazing apt in the historic center;487095
92920;Bedroom in Chueca Madrid;495849
93100;*** MALASAÑA B&B ***;499977
96807;double room, bathroom;513331
100411;Ático muy luminoso;527760
101507;NICE FLAT IN THE CENTER OF MADRID;5795235
102040;Nice Single Room with wifi.;533936
102194;Chic apartment CHUECA totally soundproofed;534515
103541;CENTRAL AND COMFORT APTO. W/PARKING;361930
114854;NICE CENTRAL TOURISM-BUSINESS APTO;361930
119389;Madrid Apartment Latina;378073
120293;ROOM IN THE CENTER -LA LATINA- WIFI;605612
120762;SHINY ROOM in DOWNTOWN / MALASAÑA!!;606925
123864;LOVELY STUDIO IN OLD TOWN-A/C-WIFI;605612
127819;140 m2 Architect flat - Madrid center;632589
132428;Habitacion en Anton Martin;650803
136058;Calm, affordable room in Madrid.;666482
154224;NICE FLAT SANTA ANA.45m2 WIFI (A);740087
163429;Centrical loft in Madrid (Chamberi);780107
167183;private house B & B. Arturo Soria (Metro);796746
170750;2-bedroom attic & rooftop terrace;814490
171144;Penthouse in PALACIO with 2 ROOMS;816497
177523;★STAYCATION★ Centro - Exclusivo, Estudio Diseño;596469
177846;HABITACIÓN EN MALASAÑA, CON BALCÓN Y MUCHA LUZ;850654
177850;PEQUEÑA HABITACIÓN EN CENTRO, EN BARRIO MALASAÑA;850654
196197;Views of San Andres Baroque from a Central Madrid Apartment;852616
199016;Room in central top floor with 2 terraces;967721
199201;Converted theatre, historic centre;749212
200828;FRENTE MAR, ZONA CALAS. PISCINA.;75944
201033;Shiny Room in Malasaña II/Center;606925
204570;Lovely 110m2 home - Best location!;1004721
205199;Tafari Gran Via;1008659
207275;Bedroom with views;124972
209373;Attic in the Heart of Madrid-WIFI;1031664
209780;The Mad B&B - Cool 3BD with Wifi & AC;669927
211444;Private Room in a Sunny and Luxuriously Appointed Apartment;1090760
217674;PENTHOUSE PLAZA MAYOR ROOFTOP TERRACE XVI CENTURY;1732442
219303;*** Malasaña B&B exterior***;499977
225462;Bright silent room in the center;1174648
225489;Madrid City Center. Room for 1 or 2 people.;1172225
229664;Beautiful cozy loft madrid center;1130651
231861;COMFORTABLE ROOM IN A GREAT AREA!!!;1212528
240128;CHEAP ROOM ONLY GIRLS OR COUPLES;630482
256004;CASA ARCO CUCHILLEROS-BOTIN;1732442
260656;Quiet duplex apartment in Lavapiés;1367452
260951;"Spectacular Loft ""A"" Ifema Madrid";1351865
261878;GREAT STUDIO! BEST REVIEWS! CENTRAL;1373873
263748;"LOFT ""C"" modern design loft IFEMA";1351865
268275;Madrid center with balconies;1406073
280733;Stylish apartment you will love with balconies;596469
281224;Central & Comfy Apartment in Opera - Royal Palace;1466005
282195;Winter Offer 40m2 Wifi. Centre O;740087
282196;COZY FLAT, SANTA ANA,40m2,WIFI (I);740087
282715;Cozy and Luxury Penthouse, GL*****Madrid;1473247
283862;"CENTER
HISTORICAL, SOL, DUPLEX";1478367
287660;Beatiful downtown room with balcony;1496188
289555;Casa Museo del Prado-Private room.;901218
294520;Centro de Madrid Gran Habitación;1522694
294529;Centro de Madrid. Room 3;1522694
297017;Charming Prado Luxury;4677030
310333;Central, cute & Art Apartment;1596220
310678;Precioso apartamento en Gran Via;1598163
315682;QUIET and SPACIOUS .Heart of Malasaña.Madrid.;1095831
316711;OPERA, PALACIO REAL, CENTRO, SOL;162701
333974;Winter froml 34€per.Centric.Wifi E;740087
336672;Great apartment ∞4 rooms∞ close to City Center;1716726
336834;2 bedroom apartament in Chueca-Fuen;1713427
336869;Direct to Plaza Mayor!;1713524
337292;Principe de Vergara. Homey Room;1714866
339144;COZY APARTMENT MADRID MALASAÑA;1721158
339171;PRADO MUSEUM AIR & OnSiteParking (*);1722284
339813;Room in Madrid Center good ambient;1713273
341939;Self-catering Apartment in Madrid;1694537
342095;Lovely apartment CENTRAL MADRID !;1703448
342557;Berlin's Park at your window. Parking included.;1738288
342952;Special price 29€ per.Center.Wifi U;740087
345195;DUPLO Heart of Madrid/Malasaña;1095831
345230;GOYA apartment.Heart of Madrid;1095831
345233;MIRO apartment.Heart of Madrid;1095831
345249;CASTELLANA CASTELLANA DELUXE FINANCIAL DISTRICT;1751133
347510;Classy Central Family Alcalá Deluxe;1751133
354838;Entire apartment Plaza de España!;1496188
361053;Cozy, luminous excellenty placed;1729503
363476;PUERTA DEL SOL-QUIET DOWNTOWN;1836617
371532;Fantastic Location. Great apartment, Opera;1871034
375472;Host family in the center of Madrid;1888816
376379;Great Studio for Rent in Madrid;1892467
377151;private house in elegant neiborhood;1895571
391795;Quiet room in a terraced house;1958516
396532;Apart. 25mts from Gran Via,exterior;1981346
406341;Quiet downtown Madrid, nearby all;2024487
406697;Lovely & Cozy Apartment Center;1973909
410699;80m2 spacious bright loft apartment;2044655
415967;LAVAPIES CLASSY (CENTER TOWN);2068619
416705;Quiet room in a two level house;1958516
420039;Bonito estudio en pleno centro;9934732
423655;Tribunal Apartment;1719263
424816;Habitación privada en apartamento..;2111994
427407;study sol-atocha I;2106353
429306;Vintage and Scandi Chic at an Historic Central Madrid Home;2134007
429604;sol-atocha II study;2106353
431806;CHARMING SUITE IN MADRID'S LEDGE;2146727
435010;Cute penthouse room in Madrid!!!;2160658
439715;Chueca Secret Apartment;2184106
440596;Quiet Central Apartment with WiFi;1280726
442986;madrid center chueca house wiffi;2201302
444113;Pretty room;2206218
449218;Central, fully equipped, best price;2230279
456165;Nice room in Madrid;617086
