id;description;neighbourhood;apart_type_id;price;minimum_nights
6369;Perfect apartments next to Hispanoamérica.;Hispanoamérica;2;60;1
21853;Perfect apartments next to Cármenes.;Cármenes;2;31;4
23001;Perfect apartments next to Legazpi.;Legazpi;1;50;15
24805;Perfect apartments next to Universidad.;Universidad;1;92;5
26825;Perfect apartments next to Legazpi.;Legazpi;2;26;2
28200;Perfect apartments next to Legazpi.;Legazpi;1;85;1
30320;Perfect apartments next to Sol.;Sol;1;65;5
30959;Perfect apartments next to Embajadores.;Embajadores;1;54;3
37859;Perfect apartments next to Palacio.;Palacio;1;1400;3
40718;Perfect apartments next to Justicia.;Justicia;1;79;3
40916;Perfect apartments next to Universidad.;Universidad;1;90;5
47957;Perfect apartments next to Goya.;Goya;1;82;10
59923;Perfect apartments next to Palacio.;Palacio;2;40;1
62423;Perfect apartments next to Justicia.;Justicia;2;24;1
64131;Perfect apartments next to Peñagrande.;Peñagrande;2;21;2
70059;Perfect apartments next to Universidad.;Universidad;1;51;5
70316;Perfect apartments next to Palacio.;Palacio;1;75;28
72150;Perfect apartments next to Embajadores.;Embajadores;1;139;2
74352;Perfect apartments next to Embajadores.;Embajadores;1;80;8
75609;Perfect apartments next to Embajadores.;Embajadores;1;63;3
82481;Perfect apartments next to Recoletos.;Recoletos;1;63;3
84719;Perfect apartments next to Embajadores.;Embajadores;1;46;2
86042;Perfect apartments next to Embajadores.;Embajadores;1;125;2
89954;Perfect apartments next to Palacio.;Palacio;1;114;2
92920;Perfect apartments next to Justicia.;Justicia;2;70;2
93100;Perfect apartments next to Universidad.;Universidad;2;45;1
96807;Perfect apartments next to Palomeras Bajas.;Palomeras Bajas;2;31;4
100411;Perfect apartments next to Valverde.;Valverde;1;60;2
101507;Perfect apartments next to Embajadores.;Embajadores;1;50;3
102040;Perfect apartments next to Pueblo Nuevo.;Pueblo Nuevo;2;19;3
102194;Perfect apartments next to Justicia.;Justicia;1;96;2
103541;Perfect apartments next to Almagro.;Almagro;1;70;2
114854;Perfect apartments next to Rios Rosas.;Rios Rosas;1;70;2
119389;Perfect apartments next to Embajadores.;Embajadores;1;105;3
120293;Perfect apartments next to Palacio.;Palacio;2;20;1
120762;Perfect apartments next to Universidad.;Universidad;2;32;1
123864;Perfect apartments next to Embajadores.;Embajadores;1;44;1
127819;Perfect apartments next to Cortes.;Cortes;1;148;1
132428;Perfect apartments next to Embajadores.;Embajadores;2;30;3
136058;Perfect apartments next to Los Angeles.;Los Angeles;2;21;1
154224;Perfect apartments next to Cortes.;Cortes;1;69;3
163429;Perfect apartments next to Trafalgar.;Trafalgar;1;65;90
167183;Perfect apartments next to Piovera.;Piovera;2;45;1
170750;Perfect apartments next to Universidad.;Universidad;1;91;25
171144;Perfect apartments next to Palacio.;Palacio;1;120;3
177523;Perfect apartments next to Universidad.;Universidad;1;72;5
177846;Perfect apartments next to Universidad.;Universidad;2;20;3
177850;Perfect apartments next to Universidad.;Universidad;2;18;4
196197;Perfect apartments next to Palacio.;Palacio;1;55;2
199016;Perfect apartments next to Universidad.;Universidad;2;28;2
199201;Perfect apartments next to Embajadores.;Embajadores;2;75;3
200828;Perfect apartments next to Castellana.;Castellana;1;214;7
201033;Perfect apartments next to Universidad.;Universidad;2;40;1
204570;Perfect apartments next to Cortes.;Cortes;1;80;5
205199;Perfect apartments next to Universidad.;Universidad;1;85;3
207275;Perfect apartments next to Casa de Campo.;Casa de Campo;2;50;10
209373;Perfect apartments next to Embajadores.;Embajadores;2;30;7
209780;Perfect apartments next to Abrantes.;Abrantes;1;94;2
211444;Perfect apartments next to Canillas.;Canillas;2;55;2
217674;Perfect apartments next to Sol.;Sol;1;101;3
219303;Perfect apartments next to Universidad.;Universidad;2;19;1
225462;Perfect apartments next to Cortes.;Cortes;2;30;2
225489;Perfect apartments next to Arapiles.;Arapiles;2;25;25
229664;Perfect apartments next to Embajadores.;Embajadores;1;43;2
231861;Perfect apartments next to Trafalgar.;Trafalgar;2;61;1
240128;Perfect apartments next to Opañel.;Opañel;2;25;5
256004;Perfect apartments next to Sol.;Sol;1;80;3
260656;Perfect apartments next to Embajadores.;Embajadores;1;88;7
260951;Perfect apartments next to Valdefuentes.;Valdefuentes;1;95;3
261878;Perfect apartments next to Universidad.;Universidad;1;67;3
263748;Perfect apartments next to Valdefuentes.;Valdefuentes;1;64;4
268275;Perfect apartments next to Embajadores.;Embajadores;1;79;2
280733;Perfect apartments next to Universidad.;Universidad;1;110;5
281224;Perfect apartments next to Palacio.;Palacio;1;68;2
282195;Perfect apartments next to Cortes.;Cortes;1;71;3
282196;Perfect apartments next to Cortes.;Cortes;1;59;3
282715;Perfect apartments next to Recoletos.;Recoletos;1;175;2
283862;Perfect apartments next to Sol.;Sol;1;106;1
287660;Perfect apartments next to Universidad.;Universidad;2;30;1
289555;Perfect apartments next to Cortes.;Cortes;2;26;1
294520;Perfect apartments next to Justicia.;Justicia;2;50;2
294529;Perfect apartments next to Justicia.;Justicia;2;37;4
297017;Perfect apartments next to Cortes.;Cortes;1;89;3
310333;Perfect apartments next to Embajadores.;Embajadores;1;61;4
310678;Perfect apartments next to Universidad.;Universidad;1;68;3
315682;Perfect apartments next to Universidad.;Universidad;1;172;3
316711;Perfect apartments next to Sol.;Sol;2;200;15
333974;Perfect apartments next to Cortes.;Cortes;1;59;3
336672;Perfect apartments next to Delicias.;Delicias;1;106;2
336834;Perfect apartments next to Justicia.;Justicia;1;65;5
336869;Perfect apartments next to Sol.;Sol;2;87;2
337292;Perfect apartments next to Ciudad Jardín.;Ciudad Jardín;2;35;2
339144;Perfect apartments next to Universidad.;Universidad;1;64;3
339171;Perfect apartments next to Cortes.;Cortes;1;82;3
339813;Perfect apartments next to Cortes.;Cortes;1;80;2
341939;Perfect apartments next to Embajadores.;Embajadores;1;55;30
342095;Perfect apartments next to Embajadores.;Embajadores;1;79;5
342557;Perfect apartments next to Ciudad Jardín.;Ciudad Jardín;2;70;2
342952;Perfect apartments next to Cortes.;Cortes;1;59;3
345195;Perfect apartments next to Universidad.;Universidad;1;89;3
345230;Perfect apartments next to Universidad.;Universidad;2;77;3
345233;Perfect apartments next to Universidad.;Universidad;2;77;3
345249;Perfect apartments next to Almenara.;Almenara;1;166;2
347510;Perfect apartments next to Fuente del Berro.;Fuente del Berro;1;223;2
354838;Perfect apartments next to Universidad.;Universidad;1;70;20
361053;Perfect apartments next to Niño Jesús.;Niño Jesús;1;100;2
363476;Perfect apartments next to Sol.;Sol;2;44;2
371532;Perfect apartments next to Palacio.;Palacio;1;80;2
375472;Perfect apartments next to Acacias.;Acacias;2;19;6
376379;Perfect apartments next to Embajadores.;Embajadores;1;42;1
377151;Perfect apartments next to Fuente del Berro.;Fuente del Berro;2;30;1
391795;Perfect apartments next to Entrevías.;Entrevías;2;35;2
396532;Perfect apartments next to Sol.;Sol;1;88;2
406341;Perfect apartments next to Lista.;Lista;2;25;3
406697;Perfect apartments next to Cortes.;Cortes;1;56;2
410699;Perfect apartments next to Sol.;Sol;1;140;2
415967;Perfect apartments next to Embajadores.;Embajadores;1;58;2
416705;Perfect apartments next to Entrevías.;Entrevías;2;30;2
420039;Perfect apartments next to Universidad.;Universidad;1;57;1
423655;Perfect apartments next to Justicia.;Justicia;1;100;5
424816;Perfect apartments next to Cuatro Caminos.;Cuatro Caminos;2;30;90
427407;Perfect apartments next to Embajadores.;Embajadores;1;65;2
429306;Perfect apartments next to Arapiles.;Arapiles;1;103;3
429604;Perfect apartments next to Cortes.;Cortes;1;65;2
431806;Perfect apartments next to Casa de Campo.;Casa de Campo;2;30;15
435010;Perfect apartments next to Palacio.;Palacio;2;25;2
439715;Perfect apartments next to Justicia.;Justicia;1;100;2
440596;Perfect apartments next to Trafalgar.;Trafalgar;1;30;3
442986;Perfect apartments next to Justicia.;Justicia;1;96;2
444113;Perfect apartments next to Lucero.;Lucero;2;25;1
449218;Perfect apartments next to Justicia.;Justicia;1;49;3
456165;Perfect apartments next to Comillas.;Comillas;2;30;2
460898;Perfect apartments next to La Paz.;La Paz;2;15;30
462072;Perfect apartments next to Palacio.;Palacio;1;121;2
464307;Perfect apartments next to Universidad.;Universidad;1;85;3
467552;Perfect apartments next to Almagro.;Almagro;1;72;2
468202;Perfect apartments next to Universidad.;Universidad;1;25;30
470132;Perfect apartments next to Embajadores.;Embajadores;1;77;3
473112;Perfect apartments next to Justicia.;Justicia;1;74;12
479718;Perfect apartments next to Rosas.;Rosas;2;76;3
490610;Perfect apartments next to Puerta del Angel.;Puerta del Angel;2;38;2
491070;Perfect apartments next to Universidad.;Universidad;1;70;180
492221;Perfect apartments next to Palacio.;Palacio;1;69;2
493238;Perfect apartments next to Embajadores.;Embajadores;1;54;4
497706;Perfect apartments next to Jerónimos.;Jerónimos;1;60;1
499911;Perfect apartments next to Embajadores.;Embajadores;1;97;4
502918;Perfect apartments next to Cortes.;Cortes;2;48;3
506956;Perfect apartments next to Concepción.;Concepción;1;68;1
507614;Perfect apartments next to Universidad.;Universidad;1;84;30
510973;Perfect apartments next to Cortes.;Cortes;2;46;2
514917;Perfect apartments next to Puerta del Angel.;Puerta del Angel;2;31;4
515008;Perfect apartments next to Arcos.;Arcos;2;17;10
515339;Perfect apartments next to Palacio.;Palacio;1;65;3
518208;Perfect apartments next to Arcos.;Arcos;2;21;10
518511;Perfect apartments next to Embajadores.;Embajadores;2;40;2
521329;Perfect apartments next to Hispanoamérica.;Hispanoamérica;2;20;7
521367;Perfect apartments next to Sol.;Sol;1;75;3
522563;Perfect apartments next to Palacio.;Palacio;1;76;2
524003;Perfect apartments next to Embajadores.;Embajadores;2;65;2
526162;Perfect apartments next to Pacífico.;Pacífico;2;19;2
526513;Perfect apartments next to Sol.;Sol;1;42;2
529690;Perfect apartments next to Palacio.;Palacio;1;100;2
531677;Perfect apartments next to Universidad.;Universidad;2;34;2
536574;Perfect apartments next to Delicias.;Delicias;1;70;3
537234;Perfect apartments next to Palos de Moguer.;Palos de Moguer;2;25;1
540937;Perfect apartments next to Embajadores.;Embajadores;1;55;1
541406;Perfect apartments next to Costillares.;Costillares;1;300;5
544736;Perfect apartments next to Hispanoamérica.;Hispanoamérica;2;21;2
