id;name;user_id;neighbourhood;apart_type_id;price;minimum_nights
6369;Rooftop terrace room, ensuite bathroom;13660;Hispanoamérica;2;60;1
21853;Bright and airy room;83531;Cármenes;2;31;4
23001;Apartmento Arganzuela - Madrid Rio;82175;Legazpi;1;50;15
24805;Gran Via Studio Madrid;346366726;Universidad;1;92;5
26825;Single Room whith private Bathroom;114340;Legazpi;2;26;2
28200;Apartamento Arganzuela Planetario;82175;Legazpi;1;85;1
30320;Great Vacational Apartments;130907;Sol;1;65;5
30959;Beautiful loft in Madrid Center;132883;Embajadores;1;54;3
37859;PISO, OPERA, MADRID, GRANDE;162701;Palacio;1;1400;3
40718;COZY APARTMENT CIBELES-GRAN VIA-PTA DEL SOL-CHUECA;34217435;Justicia;1;79;3
40916;Holiday Apartment Madrid Center;130907;Universidad;1;90;5
47957;Amazing Apartment, Salamanca Distri;218515;Goya;1;82;10
59923;Habitación para féminas en el centro de Madrid;288380;Palacio;2;40;1
62423;MAGIC ARTISTIC HOUSE IN THE CENTER OF MADRID;303845;Justicia;2;24;1
64131;Habitación Metro Lacoma;313365;Peñagrande;2;21;2
70059;Tu hogar en centro de Madrid.;353616;Universidad;1;51;5
70316;Superbly located Monthly rental Bills Incl.;353738;Palacio;1;75;28
72150;Sunny attic duplex flat with terrace next to Sol;364585;Embajadores;1;139;2
74352;Cozy apartment in the coolest neighbourhood;391014;Embajadores;1;80;8
75609;Estudio Museo Dino;401552;Embajadores;1;63;3
82481;Retiro Park, Stay at cosy studio;448981;Recoletos;1;63;3
84719;Cool Apart. (10min Center + WIFI);259229;Embajadores;1;46;2
86042;Cozy attic with intimate rooftop terrace+ elevator;364585;Embajadores;1;125;2
89954;Amazing apt in the historic center;487095;Palacio;1;114;2
92920;Bedroom in Chueca Madrid;495849;Justicia;2;70;2
93100;*** MALASAÑA B&B ***;499977;Universidad;2;45;1
96807;double room, bathroom;513331;Palomeras Bajas;2;31;4
100411;Ático muy luminoso;527760;Valverde;1;60;2
101507;NICE FLAT IN THE CENTER OF MADRID;5795235;Embajadores;1;50;3
102040;Nice Single Room with wifi.;533936;Pueblo Nuevo;2;19;3
102194;Chic apartment CHUECA totally soundproofed;534515;Justicia;1;96;2
103541;CENTRAL AND COMFORT APTO. W/PARKING;361930;Almagro;1;70;2
114854;NICE CENTRAL TOURISM-BUSINESS APTO;361930;Rios Rosas;1;70;2
119389;Madrid Apartment Latina;378073;Embajadores;1;105;3
120293;ROOM IN THE CENTER -LA LATINA- WIFI;605612;Palacio;2;20;1
120762;SHINY ROOM in DOWNTOWN / MALASAÑA!!;606925;Universidad;2;32;1
123864;LOVELY STUDIO IN OLD TOWN-A/C-WIFI;605612;Embajadores;1;44;1
127819;140 m2 Architect flat - Madrid center;632589;Cortes;1;148;1
132428;Habitacion en Anton Martin;650803;Embajadores;2;30;3
136058;Calm, affordable room in Madrid.;666482;Los Angeles;2;21;1
154224;NICE FLAT SANTA ANA.45m2 WIFI (A);740087;Cortes;1;69;3
163429;Centrical loft in Madrid (Chamberi);780107;Trafalgar;1;65;90
167183;private house B & B. Arturo Soria (Metro);796746;Piovera;2;45;1
170750;2-bedroom attic & rooftop terrace;814490;Universidad;1;91;25
171144;Penthouse in PALACIO with 2 ROOMS;816497;Palacio;1;120;3
177523;★STAYCATION★ Centro - Exclusivo, Estudio Diseño;596469;Universidad;1;72;5
177846;HABITACIÓN EN MALASAÑA, CON BALCÓN Y MUCHA LUZ;850654;Universidad;2;20;3
177850;PEQUEÑA HABITACIÓN EN CENTRO, EN BARRIO MALASAÑA;850654;Universidad;2;18;4
196197;Views of San Andres Baroque from a Central Madrid Apartment;852616;Palacio;1;55;2
199016;Room in central top floor with 2 terraces;967721;Universidad;2;28;2
199201;Converted theatre, historic centre;749212;Embajadores;2;75;3
200828;FRENTE MAR, ZONA CALAS. PISCINA.;75944;Castellana;1;214;7
201033;Shiny Room in Malasaña II/Center;606925;Universidad;2;40;1
204570;Lovely 110m2 home - Best location!;1004721;Cortes;1;80;5
205199;Tafari Gran Via;1008659;Universidad;1;85;3
207275;Bedroom with views;124972;Casa de Campo;2;50;10
209373;Attic in the Heart of Madrid-WIFI;1031664;Embajadores;2;30;7
209780;The Mad B&B - Cool 3BD with Wifi & AC;669927;Abrantes;1;94;2
211444;Private Room in a Sunny and Luxuriously Appointed Apartment;1090760;Canillas;2;55;2
217674;PENTHOUSE PLAZA MAYOR ROOFTOP TERRACE XVI CENTURY;1732442;Sol;1;101;3
219303;*** Malasaña B&B exterior***;499977;Universidad;2;19;1
225462;Bright silent room in the center;1174648;Cortes;2;30;2
225489;Madrid City Center. Room for 1 or 2 people.;1172225;Arapiles;2;25;25
229664;Beautiful cozy loft madrid center;1130651;Embajadores;1;43;2
231861;COMFORTABLE ROOM IN A GREAT AREA!!!;1212528;Trafalgar;2;61;1
240128;CHEAP ROOM ONLY GIRLS OR COUPLES;630482;Opañel;2;25;5
256004;CASA ARCO CUCHILLEROS-BOTIN;1732442;Sol;1;80;3
260656;Quiet duplex apartment in Lavapiés;1367452;Embajadores;1;88;7
260951;"Spectacular Loft ""A"" Ifema Madrid";1351865;Valdefuentes;1;95;3
261878;GREAT STUDIO! BEST REVIEWS! CENTRAL;1373873;Universidad;1;67;3
263748;"LOFT ""C"" modern design loft IFEMA";1351865;Valdefuentes;1;64;4
268275;Madrid center with balconies;1406073;Embajadores;1;79;2
280733;Stylish apartment you will love with balconies;596469;Universidad;1;110;5
281224;Central & Comfy Apartment in Opera - Royal Palace;1466005;Palacio;1;68;2
282195;Winter Offer 40m2 Wifi. Centre O;740087;Cortes;1;71;3
282196;COZY FLAT, SANTA ANA,40m2,WIFI (I);740087;Cortes;1;59;3
282715;Cozy and Luxury Penthouse, GL*****Madrid;1473247;Recoletos;1;175;2
283862;"CENTER
HISTORICAL, SOL, DUPLEX";1478367;Sol;1;106;1
287660;Beatiful downtown room with balcony;1496188;Universidad;2;30;1
289555;Casa Museo del Prado-Private room.;901218;Cortes;2;26;1
294520;Centro de Madrid Gran Habitación;1522694;Justicia;2;50;2
294529;Centro de Madrid. Room 3;1522694;Justicia;2;37;4
297017;Charming Prado Luxury;4677030;Cortes;1;89;3
310333;Central, cute & Art Apartment;1596220;Embajadores;1;61;4
310678;Precioso apartamento en Gran Via;1598163;Universidad;1;68;3
315682;QUIET and SPACIOUS .Heart of Malasaña.Madrid.;1095831;Universidad;1;172;3
316711;OPERA, PALACIO REAL, CENTRO, SOL;162701;Sol;2;200;15
333974;Winter froml 34€per.Centric.Wifi E;740087;Cortes;1;59;3
336672;Great apartment ∞4 rooms∞ close to City Center;1716726;Delicias;1;106;2
336834;2 bedroom apartament in Chueca-Fuen;1713427;Justicia;1;65;5
336869;Direct to Plaza Mayor!;1713524;Sol;2;87;2
337292;Principe de Vergara. Homey Room;1714866;Ciudad Jardín;2;35;2
339144;COZY APARTMENT MADRID MALASAÑA;1721158;Universidad;1;64;3
339171;PRADO MUSEUM AIR & OnSiteParking (*);1722284;Cortes;1;82;3
339813;Room in Madrid Center good ambient;1713273;Cortes;1;80;2
341939;Self-catering Apartment in Madrid;1694537;Embajadores;1;55;30
342095;Lovely apartment CENTRAL MADRID !;1703448;Embajadores;1;79;5
342557;Berlin's Park at your window. Parking included.;1738288;Ciudad Jardín;2;70;2
342952;Special price 29€ per.Center.Wifi U;740087;Cortes;1;59;3
345195;DUPLO Heart of Madrid/Malasaña;1095831;Universidad;1;89;3
345230;GOYA apartment.Heart of Madrid;1095831;Universidad;2;77;3
345233;MIRO apartment.Heart of Madrid;1095831;Universidad;2;77;3
345249;CASTELLANA CASTELLANA DELUXE FINANCIAL DISTRICT;1751133;Almenara;1;166;2
347510;Classy Central Family Alcalá Deluxe;1751133;Fuente del Berro;1;223;2
354838;Entire apartment Plaza de España!;1496188;Universidad;1;70;20
361053;Cozy, luminous excellenty placed;1729503;Niño Jesús;1;100;2
363476;PUERTA DEL SOL-QUIET DOWNTOWN;1836617;Sol;2;44;2
371532;Fantastic Location. Great apartment, Opera;1871034;Palacio;1;80;2
375472;Host family in the center of Madrid;1888816;Acacias;2;19;6
376379;Great Studio for Rent in Madrid;1892467;Embajadores;1;42;1
377151;private house in elegant neiborhood;1895571;Fuente del Berro;2;30;1
391795;Quiet room in a terraced house;1958516;Entrevías;2;35;2
396532;Apart. 25mts from Gran Via,exterior;1981346;Sol;1;88;2
406341;Quiet downtown Madrid, nearby all;2024487;Lista;2;25;3
406697;Lovely & Cozy Apartment Center;1973909;Cortes;1;56;2
410699;80m2 spacious bright loft apartment;2044655;Sol;1;140;2
415967;LAVAPIES CLASSY (CENTER TOWN);2068619;Embajadores;1;58;2
416705;Quiet room in a two level house;1958516;Entrevías;2;30;2
420039;Bonito estudio en pleno centro;9934732;Universidad;1;57;1
423655;Tribunal Apartment;1719263;Justicia;1;100;5
424816;Habitación privada en apartamento..;2111994;Cuatro Caminos;2;30;90
427407;study sol-atocha I;2106353;Embajadores;1;65;2
429306;Vintage and Scandi Chic at an Historic Central Madrid Home;2134007;Arapiles;1;103;3
429604;sol-atocha II study;2106353;Cortes;1;65;2
431806;CHARMING SUITE IN MADRID'S LEDGE;2146727;Casa de Campo;2;30;15
435010;Cute penthouse room in Madrid!!!;2160658;Palacio;2;25;2
439715;Chueca Secret Apartment;2184106;Justicia;1;100;2
440596;Quiet Central Apartment with WiFi;1280726;Trafalgar;1;30;3
442986;madrid center chueca house wiffi;2201302;Justicia;1;96;2
444113;Pretty room;2206218;Lucero;2;25;1
449218;Central, fully equipped, best price;2230279;Justicia;1;49;3
456165;Nice room in Madrid;617086;Comillas;2;30;2
460898;Wide and nice apartment in Madrid;2290984;La Paz;2;15;30
462072;Spectacular Penthouse 95 m² Latina;2296476;Palacio;1;121;2
464307;LOVELY SUNNY, DOWNTOWN, 2 BR APT.;2307294;Universidad;1;85;3
467552;DESIGN PENTHOUSE ALONSO MARTINEZ!;2320165;Almagro;1;72;2
468202;BEST STUDIO IN VERY CENTER MADRID FIBRE OPTIC WIFI;2322563;Universidad;1;25;30
470132;❤Quiet & Comfortable apartment **Superhost**;2332600;Embajadores;1;77;3
473112;LUXURY DUPLEX CENTER A/A-WIFI;2346162;Justicia;1;74;12
479718;Wanda Stadium. Madrid. 20 minutes from Sol by tube;2376402;Rosas;2;76;3
490610;Bed&Breakfast, 2 bedrooms for 3, at Latina;2426135;Puerta del Angel;2;38;2
491070;NICE APT IN THE HEART OF MADRID !!!;2427722;Universidad;1;70;180
492221;CENTRICO EN EL BARRIO DE LA LATINA;2433045;Palacio;1;69;2
493238;ElRastro-Plaza Mayor. Air cond-WIFI;2436735;Embajadores;1;54;4
497706;Peaceful apartment in Madrid Centre;2456671;Jerónimos;1;60;1
499911;2 bedroom apartment downtown Madrid;2467212;Embajadores;1;97;4
502918;Cozy room in penthouse in Madrid's heart;2480913;Cortes;2;48;3
506956;Precioso apartamento céntrico en Madrid;1932547;Concepción;1;68;1
507614;Malasaña: Amazing&extremely central 2BD flat;2501740;Universidad;1;84;30
510973;Habitación céntrica a 1 min de Plza Santa Ana;2517520;Cortes;2;46;2
514917;Nice room, nice flat;83531;Puerta del Angel;2;31;4
515008;BIG BED & VERY NICE ROOM YELLOW.;2536524;Arcos;2;17;10
515339;Cozy & central flat 35 m2 next to ROYAL PALACE;2538187;Palacio;1;65;3
518208;BIG BED & VERY NICE ORANGE ROOM.;2536524;Arcos;2;21;10
518511;Central, cheery, light, historic;1150912;Embajadores;2;40;2
521329;Nice&perfect location singel room;2563986;Hispanoamérica;2;20;7
521367;Penthouse with terrace in SOL;2564339;Sol;1;75;3
522563;Beautiful loft in downtown Madrid;1652272;Palacio;1;76;2
524003;NEXT TO PLAZA MAYOR STATELY BUILDNG;2576044;Embajadores;2;65;2
526162;Single room in shared flat. Central;2249249;Pacífico;2;19;2
526513;Sol. Your home in Madrid´s Heart;1134989;Sol;1;42;2
529690;Architect's sunny La Latina retreat;1020814;Palacio;1;100;2
531677;Bright room in the Gran Via!!!!;2613319;Universidad;2;34;2
536574;Junior Rent;447969;Delicias;1;70;3
537234;Single Naranja en casa de artista;2638528;Palos de Moguer;2;25;1
540937;MELROSEPIES apartment A/C City Centre Free WIFI;2659070;Embajadores;1;55;1
541406;Enjoy madrid with all your family;2661721;Costillares;1;300;5
544736;SUNNY & EASY ACCESIBLE BEDROOM;1284868;Hispanoamérica;2;21;2
545174;MADRID - MONCLOA;2680319;Gaztambide;1;40;1
547050;LUMINOUS, cozy, next to Retiro Park;2690005;Ibiza;2;43;5
548353;Cozy at heart of Chamberi Madrid. 4;2695670;Rios Rosas;1;99;2
548995;CHIC and CENTRAL apartment +WIFI;2673517;Ibiza;1;90;5
549664;SPACIOUS ROOM WITH BATHROOM;2702003;Casco Histórico de Vallecas;2;50;1
552183;Nice apartment. historic center Mad;2713304;Cortes;2;35;2
560941;Serrano apartment;596469;Recoletos;1;134;5
565152;wonderful aparment in lavapies !!;2779192;Embajadores;1;37;2
566241;LOVELY APARTMENT CLOSE TO REINA SOFIA MUSEUM;2785251;Embajadores;1;50;90
568190;Rooms to rent to students,tourists;2795931;Puerta del Angel;2;20;2
570158;Stanza- Carina;2347489;Cuatro Caminos;2;20;7
572048;Rooms to rent in a shared flat;1689652;Trafalgar;2;30;3
576487;House in Barajas, close to AIRPORT andIFEMA;2312712;Casco Histórico de Barajas;1;78;1
578731;CENTRIC, QUIET, BRIGHT APARTMENT.;2847013;Universidad;1;9999;2
586726;Good Karma - Madrid Rio Penthouse;2566589;Casa de Campo;1;86;30
588382;Apartment in the center of Madrid;2902269;Embajadores;1;190;2
588518;Penthouse with Stunning Balcony Near Plaza Mayor;2267893;Palacio;1;165;4
590710;Single/Double private room;2913511;San Fermín;2;50;7
598771;Atocha Attic - Unbeatable Location;2678039;Palos de Moguer;1;85;3
599134;Cosy Plaza Mayor apartment in central Madrid;1567773;Sol;2;33;30
599885;ALEGRE Y LUMINOSA HABITACIÓN CENTRO;2214378;Justicia;2;25;2
599977;CENTRAL STUDIO FLAT;2960080;Universidad;1;37;2
604150;El Rincón de Serrano;2990747;Castellana;1;110;30
604632;habitacion luminosa madrid-centro;2993477;Berruguete;2;23;1
605339;NiceStay_HighValue_Orange RoomWIFI;2783896;Lucero;2;14;3
606923;Habitación+baño+cocina privada -Aravaca - Madrid;2581715;Aravaca;2;28;2
607548;Attic with views and large Terrace;3010452;San Diego;2;45;2
608742;Central and quiet.;3017315;Palacio;1;49;2
610675;Beautiful attic, best location.;2174652;Sol;1;70;3
616027;Quiet room well located, Av.America;3053021;Prosperidad;2;23;1
618576;Puerta del Sol - Palacio Real.;3017315;Palacio;1;76;2
625566;DUPLEX AT MADRID CENTER WITH POOL;2773350;Acacias;1;60;2
628394;Luxurious Duplex (3 heights) in Sol;3121587;Sol;1;279;2
631737;Chamartin, Large, Warm, Calm & lux;3141727;Castilla;1;75;3
642863;Malasaña, Madrid, private room;3214130;Universidad;2;46;4
643471;CHEAP & NICE B&B IN MADRID CENTRE;3290138;Embajadores;2;10;3
644656;Room NEXT TO THE METRO!!;3226403;Pueblo Nuevo;2;25;7
647376;LA LATINA AMAZING NEIGHBORHOOD !!;1091014;Palacio;1;58;30
